,urn,component,size,size_hh,n
0,95064,1,1,605,1
0,95065,2,2,602,1
1,95055,2,2,602,1
0,95066,3,2,1008,1
1,95071,3,2,1008,1
0,95062,4,1,552,1
0,132193,5,1,491,1
0,95063,6,1,450,1
0,95068,7,1,393,1
0,95067,8,1,344,1
0,95061,9,1,378,1
0,95030,10,1,141,1
0,95022,11,1,157,1
0,95108,12,1,109,1
0,125354,13,1,77,1
0,95035,14,1,184,1
0,127257,15,1,255,1
0,95051,16,1,80,1
0,95103,17,1,15,1
0,95057,18,1,86,1
0,95053,19,1,80,1
0,95025,20,1,75,1
0,95047,21,1,111,1
0,95037,22,1,174,1
0,95045,23,1,94,1
0,95038,24,1,95,1
0,95020,25,1,128,1
0,95059,26,1,110,1
0,136176,27,1,39,1
0,95032,28,1,167,1
0,95031,29,1,153,1
0,95033,30,1,135,1
0,95054,31,1,72,1
0,95058,32,1,99,1
0,95056,33,1,84,1
0,134849,34,1,79,1
0,95034,35,1,141,1
0,95041,36,1,92,1
0,95043,37,1,100,1
0,95023,38,1,160,1
0,95052,39,1,93,1
0,95021,40,1,167,1
0,95027,41,1,80,1
0,95019,42,1,12,1
0,95039,43,1,96,1
0,95046,44,1,86,1
0,95060,45,1,108,1
0,95026,46,1,86,1
0,95024,47,1,93,1
0,95042,48,1,89,1
0,95040,49,1,91,1
0,131819,50,1,38,1
0,95048,51,1,66,1
0,95044,52,1,79,1
0,95049,53,1,14,1
0,95018,54,1,16,1
0,129655,55,1,3,1
0,95104,56,1,11,1
0,135698,57,1,128,1
0,95064,1,2,760,2
1,95021,1,2,760,2
0,95065,2,1,516,2
0,95071,3,1,503,2
0,95108,4,4,1202,2
1,95035,4,4,1202,2
2,95068,4,4,1202,2
3,95062,4,4,1202,2
0,132193,5,1,491,2
0,95063,6,1,450,2
0,95067,7,2,424,2
1,95055,7,2,424,2
0,95066,8,1,506,2
0,95033,9,2,488,2
1,95061,9,2,488,2
0,95030,10,1,141,2
0,95022,11,1,157,2
0,125354,12,1,77,2
0,127257,13,1,255,2
0,95051,14,1,80,2
0,95103,15,1,15,2
0,95057,16,1,86,2
0,95053,17,1,80,2
0,95025,18,1,75,2
0,95047,19,1,111,2
0,95037,20,1,174,2
0,95045,21,1,94,2
0,95038,22,1,95,2
0,95020,23,2,220,2
1,95052,23,2,220,2
0,95059,24,1,110,2
0,136176,25,1,39,2
0,95032,26,1,167,2
0,95031,27,1,153,2
0,95054,28,1,72,2
0,95058,29,1,99,2
0,95056,30,1,84,2
0,134849,31,1,79,2
0,95034,32,1,141,2
0,95041,33,1,92,2
0,95043,34,1,100,2
0,95023,35,1,160,2
0,95027,36,1,80,2
0,95019,37,1,12,2
0,95039,38,1,96,2
0,95046,39,1,86,2
0,95060,40,1,108,2
0,95026,41,1,86,2
0,95024,42,1,93,2
0,95042,43,1,89,2
0,95040,44,1,91,2
0,131819,45,1,38,2
0,95048,46,1,66,2
0,95044,47,1,79,2
0,95049,48,1,14,2
0,95018,49,1,16,2
0,129655,50,1,3,2
0,95104,51,1,11,2
0,135698,52,1,128,2
0,95064,1,1,605,3
0,95032,2,2,678,3
1,95065,2,2,678,3
0,95071,3,1,503,3
0,95062,4,1,552,3
0,132193,5,2,735,3
1,127257,5,2,735,3
0,95063,6,1,450,3
0,95068,7,1,393,3
0,95067,8,1,344,3
0,95066,9,1,506,3
0,95034,10,2,515,3
1,95061,10,2,515,3
0,95030,11,1,141,3
0,95022,12,1,157,3
0,95108,13,1,109,3
0,125354,14,1,77,3
0,95035,15,1,184,3
0,95051,16,1,80,3
0,95103,17,1,15,3
0,95057,18,1,86,3
0,95053,19,1,80,3
0,95025,20,1,75,3
0,95047,21,1,111,3
