,urn,component,size,size_hh,n
0,95022,1,13,3914,1
1,95056,1,13,3914,1
2,95025,1,13,3914,1
3,95024,1,13,3914,1
4,95061,1,13,3914,1
5,95062,1,13,3914,1
6,95063,1,13,3914,1
7,95064,1,13,3914,1
8,95033,1,13,3914,1
9,95066,1,13,3914,1
10,95035,1,13,3914,1
11,95068,1,13,3914,1
12,95071,1,13,3914,1
0,95065,2,2,670,1
1,95023,2,2,670,1
0,132193,3,2,599,1
1,95059,3,2,599,1
0,95032,4,3,590,1
1,95041,4,3,590,1
2,95067,4,3,590,1
0,95030,5,1,141,1
0,95108,6,1,109,1
0,95048,7,2,139,1
1,125354,7,2,139,1
0,127257,8,1,255,1
0,95051,9,1,80,1
0,95103,10,1,15,1
0,95057,11,1,86,1
0,95053,12,1,80,1
0,95047,13,1,111,1
0,95037,14,1,174,1
0,95045,15,1,94,1
0,95038,16,1,95,1
0,95020,17,1,128,1
0,136176,18,1,39,1
0,95031,19,1,153,1
0,95054,20,1,72,1
0,95058,21,1,99,1
0,134849,22,1,79,1
0,95034,23,1,141,1
0,95043,24,1,100,1
0,95052,25,1,93,1
0,95021,26,1,167,1
0,95055,27,1,88,1
0,95027,28,1,80,1
0,95019,29,1,12,1
0,95039,30,1,96,1
0,95046,31,1,86,1
0,95060,32,1,108,1
0,95026,33,1,86,1
0,95042,34,1,89,1
0,95040,35,1,91,1
0,131819,36,1,38,1
0,95044,37,1,79,1
0,95049,38,1,14,1
0,95018,39,1,16,1
0,129655,40,1,3,1
0,95104,41,1,11,1
0,135698,42,1,128,1
0,95064,1,1,605,2
0,95065,2,1,516,2
0,95071,3,1,503,2
0,95062,4,1,552,2
0,132193,5,1,491,2
0,95025,6,3,627,2
1,95034,6,3,627,2
2,95063,6,3,627,2
0,95068,7,1,393,2
0,95032,8,3,590,2
1,95041,8,3,590,2
2,95067,8,3,590,2
0,95066,9,2,677,2
1,95035,9,2,677,2
0,95033,10,3,596,2
1,95059,10,3,596,2
2,95061,10,3,596,2
0,95030,11,1,141,2
0,95022,12,1,157,2
0,95108,13,1,109,2
0,125354,14,1,77,2
0,127257,15,1,255,2
0,95051,16,1,80,2
0,95103,17,1,15,2
0,95057,18,1,86,2
0,95053,19,1,80,2
0,95047,20,1,111,2
0,95037,21,1,174,2
0,95045,22,1,94,2
0,95038,23,1,95,2
0,95020,24,1,128,2
0,136176,25,1,39,2
0,95031,26,1,153,2
0,95054,27,1,72,2
0,95058,28,1,99,2
0,95056,29,1,84,2
0,134849,30,1,79,2
0,95043,31,1,100,2
0,95023,32,1,160,2
0,95052,33,1,93,2
0,95021,34,1,167,2
0,95055,35,1,88,2
0,95027,36,1,80,2
0,95019,37,1,12,2
0,95039,38,1,96,2
0,95046,39,1,86,2
0,95060,40,1,108,2
0,95026,41,1,86,2
0,95024,42,1,93,2
0,95042,43,1,89,2
0,95040,44,1,91,2
0,131819,45,1,38,2
0,95048,46,1,66,2
0,95044,47,1,79,2
0,95049,48,1,14,2
0,95018,49,1,16,2
0,129655,50,1,3,2
0,95104,51,1,11,2
0,135698,52,1,128,2
0,95064,1,4,1393,3
1,132193,1,4,1393,3
2,95021,1,4,1393,3
3,95031,1,4,1393,3
0,95023,2,7,1892,3
1,95024,2,7,1892,3
2,95062,2,7,1892,3
3,95065,2,7,1892,3
4,95068,2,7,1892,3
5,95037,2,7,1892,3
6,95039,2,7,1892,3
0,95057,3,3,964,3
1,95061,3,3,964,3
2,95071,3,3,964,3
0,95027,4,3,621,3
1,95045,4,3,621,3
2,95063,4,3,621,3
0,95048,5,2,409,3
1,95067,5,2,409,3
0,95066,6,2,677,3
1,95035,6,2,677,3
0,95030,7,1,141,3
0,95022,8,1,157,3
0,95034,9,2,249,3
1,95108,9,2,249,3
0,125354,10,1,77,3
0,127257,11,1,255,3
0,95051,12,1,80,3
0,95103,13,1,15,3
0,95053,14,1,80,3
0,95025,15,1,75,3
0,95047,16,1,111,3
0,95038,17,1,95,3
0,95020,18,2,220,3
1,95052,18,2,220,3
0,95059,19,1,110,3
0,136176,20,1,39,3
