,urn,component,size,size_hh,n
0,95064,1,1,605,9
0,95065,2,1,516,9
0,95068,3,4,1780,9
1,95061,3,4,1780,9
2,95062,3,4,1780,9
3,95071,3,4,1780,9
0,132193,4,1,491,9
0,95063,5,1,450,9
0,95067,6,1,344,9
0,95066,7,1,506,9
0,95108,8,1,53,9
0,136176,9,1,39,9
0,95018,10,1,16,9
0,129655,11,1,3,9
0,95104,12,1,11,9
0,95064,1,1,605,10
0,95108,2,9,3578,10
1,95061,2,9,3578,10
2,95062,2,9,3578,10
3,95063,2,9,3578,10
4,95065,2,9,3578,10
5,95066,2,9,3578,10
6,95067,2,9,3578,10
7,95068,2,9,3578,10
8,95071,2,9,3578,10
0,132193,3,1,491,10
0,136176,4,1,39,10
0,95018,5,1,16,10
0,129655,6,1,3,10
0,95104,7,1,11,10
0,95064,1,1,605,11
0,132193,2,8,3221,11
1,136176,2,8,3221,11
2,95061,2,8,3221,11
3,95062,2,8,3221,11
4,95063,2,8,3221,11
5,95065,2,8,3221,11
6,95066,2,8,3221,11
7,95068,2,8,3221,11
0,95071,3,1,503,11
0,95067,4,1,344,11
0,95108,5,1,53,11
0,95018,6,1,16,11
0,129655,7,1,3,11
0,95104,8,1,11,11
0,95064,1,3,1104,12
1,132193,1,3,1104,12
2,95018,1,3,1104,12
0,95065,2,1,516,12
0,95071,3,1,503,12
0,95062,4,1,552,12
0,95063,5,1,450,12
0,95068,6,2,764,12
1,95061,6,2,764,12
0,95067,7,1,344,12
0,95066,8,1,506,12
0,95108,9,1,53,12
0,136176,10,1,39,12
0,129655,11,1,3,12
0,95104,12,1,11,12
0,95064,1,1,605,13
0,95065,2,1,516,13
0,95061,3,6,2706,13
1,95062,3,6,2706,13
2,95063,3,6,2706,13
3,95066,3,6,2706,13
4,95068,3,6,2706,13
5,95071,3,6,2706,13
0,132193,4,1,491,13
0,95067,5,1,344,13
0,95108,6,1,53,13
0,136176,7,1,39,13
0,95018,8,1,16,13
0,129655,9,1,3,13
0,95104,10,1,11,13
0,132193,1,8,3530,14
1,95108,1,8,3530,14
2,95062,1,8,3530,14
3,95064,1,8,3530,14
4,95065,1,8,3530,14
5,95066,1,8,3530,14
6,95068,1,8,3530,14
7,95071,1,8,3530,14
0,95063,2,1,450,14
0,95067,3,1,344,14
0,95061,4,1,378,14
0,136176,5,1,39,14
0,95018,6,1,16,14
0,129655,7,1,3,14
0,95104,8,1,11,14
0,95064,1,1,605,15
0,132193,2,9,4011,15
1,95061,2,9,4011,15
2,95062,2,9,4011,15
3,95063,2,9,4011,15
4,95065,2,9,4011,15
5,95066,2,9,4011,15
6,95067,2,9,4011,15
7,95068,2,9,4011,15
8,95071,2,9,4011,15
0,95108,3,1,53,15
0,136176,4,1,39,15
0,95018,5,1,16,15
0,129655,6,1,3,15
0,95104,7,1,11,15
0,132193,1,8,3764,16
1,95062,1,8,3764,16
2,95063,1,8,3764,16
3,95064,1,8,3764,16
4,95066,1,8,3764,16
5,95067,1,8,3764,16
6,95068,1,8,3764,16
7,95071,1,8,3764,16
0,95065,2,1,516,16
0,95061,3,1,378,16
0,95108,4,1,53,16
0,136176,5,1,39,16
0,95018,6,1,16,16
0,129655,7,1,3,16
0,95104,8,1,11,16
0,132193,1,9,3827,17
1,95108,1,9,3827,17
2,95061,1,9,3827,17
3,95062,1,9,3827,17
4,95063,1,9,3827,17
5,95064,1,9,3827,17
6,95065,1,9,3827,17
7,95066,1,9,3827,17
8,95068,1,9,3827,17
0,95071,2,1,503,17
0,95067,3,1,344,17
0,136176,4,1,39,17
0,95018,5,1,16,17
0,129655,6,1,3,17
0,95104,7,1,11,17
0,95064,1,2,1089,18
1,132193,1,2,1089,18
0,95108,2,6,2319,18
1,95061,2,6,2319,18
2,95062,2,6,2319,18
3,95065,2,6,2319,18
4,95066,2,6,2319,18
5,95068,2,6,2319,18
0,95071,3,1,503,18
0,95063,4,1,450,18
0,95067,5,1,344,18
0,136176,6,1,39,18
0,95018,7,1,16,18
0,129655,8,1,3,18
0,95104,9,1,11,18
0,95064,1,1,605,19
0,95061,2,6,2531,19
1,95063,2,6,2531,19
2,95065,2,6,2531,19
3,95066,2,6,2531,19
4,95067,2,6,2531,19
5,95068,2,6,2531,19
0,95071,3,1,503,19
0,95062,4,1,552,19
0,132193,5,1,491,19
0,95108,6,1,53,19
0,136176,7,1,39,19
0,95018,8,1,16,19
0,129655,9,1,3,19
0,95104,10,1,11,19
0,132193,1,9,4131,20
1,95061,1,9,4131,20
2,95062,1,9,4131,20
3,95063,1,9,4131,20
4,95064,1,9,4131,20
5,95065,1,9,4131,20
6,95067,1,9,4131,20
7,95068,1,9,4131,20
8,95071,1,9,4131,20
0,95066,2,1,506,20
0,95108,3,1,53,20
0,136176,4,1,39,20
0,95018,5,1,16,20
0,129655,6,1,3,20
0,95104,7,1,11,20
0,95064,1,2,1089,21
1,132193,1,2,1089,21
0,95065,2,3,1359,21
1,95067,2,3,1359,21
2,95071,2,3,1359,21
0,95068,3,2,919,21
1,95062,3,2,919,21
0,95104,4,3,832,21
1,95061,4,3,832,21
2,95063,4,3,832,21
0,95066,5,1,506,21
0,95108,6,1,53,21
0,136176,7,1,39,21
0,95018,8,1,16,21
0,129655,9,1,3,21
0,132193,1,8,3780,22
1,95061,1,8,3780,22
2,95062,1,8,3780,22
3,95063,1,8,3780,22
4,95064,1,8,3780,22
5,95065,1,8,3780,22
6,95066,1,8,3780,22
7,95068,1,8,3780,22
0,95071,2,1,503,22
0,95067,3,1,344,22
0,95108,4,1,53,22
0,136176,5,1,39,22
0,95018,6,1,16,22
0,129655,7,1,3,22
0,95104,8,1,11,22
0,132193,1,9,4271,23
1,95061,1,9,4271,23
2,95062,1,9,4271,23
3,95063,1,9,4271,23
4,95064,1,9,4271,23
5,95065,1,9,4271,23
6,95066,1,9,4271,23
7,95068,1,9,4271,23
8,95071,1,9,4271,23
0,95067,2,1,344,23
0,95108,3,1,53,23
0,136176,4,1,39,23
0,95018,5,1,16,23
0,129655,6,1,3,23
0,95104,7,1,11,23
0,132193,1,11,4355,24
1,95108,1,11,4355,24
2,136176,1,11,4355,24
3,95061,1,11,4355,24
4,95062,1,11,4355,24
5,95063,1,11,4355,24
6,95064,1,11,4355,24
7,95065,1,11,4355,24
8,95066,1,11,4355,24
9,95068,1,11,4355,24
10,95071,1,11,4355,24
0,95067,2,1,344,24
0,95018,3,1,16,24
0,129655,4,1,3,24
0,95104,5,1,11,24
0,132193,1,6,2786,25
1,95061,1,6,2786,25
2,95063,1,6,2786,25
3,95064,1,6,2786,25
4,95068,1,6,2786,25
5,95071,1,6,2786,25
0,95065,2,1,516,25
0,95062,3,1,552,25
0,95067,4,1,344,25
0,95066,5,1,506,25
0,95108,6,1,53,25
0,136176,7,1,39,25
0,95018,8,1,16,25
0,129655,9,1,3,25
0,95104,10,1,11,25
0,95064,1,2,1089,26
1,132193,1,2,1089,26
0,95108,2,6,2303,26
1,95061,2,6,2303,26
2,95065,2,6,2303,26
3,95066,2,6,2303,26
4,95068,2,6,2303,26
5,95071,2,6,2303,26
0,95062,3,1,552,26
0,95018,4,2,465,26
1,95063,4,2,465,26
0,95067,5,1,344,26
0,136176,6,1,39,26
0,129655,7,1,3,26
0,95104,8,1,11,26
0,132193,1,7,3298,27
1,95061,1,7,3298,27
2,95062,1,7,3298,27
3,95063,1,7,3298,27
4,95064,1,7,3298,27
5,95068,1,7,3298,27
6,95071,1,7,3298,27
0,95065,2,2,1010,27
1,95066,2,2,1010,27
0,95067,3,1,344,27
0,95108,4,1,53,27
0,136176,5,1,39,27
0,95018,6,1,16,27
0,129655,7,1,3,27
0,95104,8,1,11,27
0,132193,1,5,2365,28
1,95061,1,5,2365,28
2,95062,1,5,2365,28
3,95064,1,5,2365,28
4,95068,1,5,2365,28
0,95065,2,2,1010,28
1,95066,2,2,1010,28
0,95067,3,3,896,28
1,95108,3,3,896,28
2,95071,3,3,896,28
0,95063,4,1,450,28
0,136176,5,1,39,28
0,95018,6,1,16,28
0,129655,7,1,3,28
0,95104,8,1,11,28
0,95064,1,2,1089,29
1,132193,1,2,1089,29
0,136176,2,5,1823,29
1,95061,2,5,1823,29
2,95062,2,5,1823,29
3,95065,2,5,1823,29
4,95068,2,5,1823,29
0,95071,3,1,503,29
0,95066,4,2,948,29
1,95063,4,2,948,29
0,95067,5,1,344,29
0,95108,6,1,53,29
0,95018,7,1,16,29
0,129655,8,1,3,29
0,95104,9,1,11,29
0,95064,1,1,605,30
0,95061,2,5,2254,30
1,95065,2,5,2254,30
2,95066,2,5,2254,30
3,95068,2,5,2254,30
4,95071,2,5,2254,30
0,132193,3,2,1040,30
1,95062,3,2,1040,30
0,95063,4,1,450,30
0,95067,5,2,396,30
1,95108,5,2,396,30
0,136176,6,1,39,30
0,95018,7,1,16,30
0,129655,8,1,3,30
0,95104,9,1,11,30
0,132193,1,10,4318,31
1,95108,1,10,4318,31
2,95061,1,10,4318,31
3,95062,1,10,4318,31
4,95063,1,10,4318,31
5,95064,1,10,4318,31
6,95065,1,10,4318,31
7,95066,1,10,4318,31
8,95068,1,10,4318,31
9,95071,1,10,4318,31
0,95067,2,1,344,31
0,136176,3,1,39,31
0,95018,4,1,16,31
0,129655,5,1,3,31
0,95104,6,1,11,31
0,95064,1,2,657,32
1,95108,1,2,657,32
0,95065,2,1,516,32
0,95071,3,1,503,32
0,132193,4,5,2338,32
1,95062,4,5,2338,32
2,95063,4,5,2338,32
3,95066,4,5,2338,32
4,95068,4,5,2338,32
0,95067,5,1,344,32
0,95061,6,1,378,32
0,136176,7,1,39,32
0,95018,8,1,16,32
0,129655,9,1,3,32
0,95104,10,1,11,32
0,132193,1,9,3827,33
1,95108,1,9,3827,33
2,95061,1,9,3827,33
3,95062,1,9,3827,33
4,95063,1,9,3827,33
5,95064,1,9,3827,33
6,95065,1,9,3827,33
7,95066,1,9,3827,33
8,95068,1,9,3827,33
0,95071,2,1,503,33
0,95067,3,1,344,33
0,136176,4,1,39,33
0,95018,5,1,16,33
0,129655,6,1,3,33
0,95104,7,1,11,33
0,95064,1,3,1591,34
1,132193,1,3,1591,34
2,95071,1,3,1591,34
0,95108,2,7,2752,34
1,95061,2,7,2752,34
2,95062,2,7,2752,34
3,95063,2,7,2752,34
4,95065,2,7,2752,34
5,95066,2,7,2752,34
6,95068,2,7,2752,34
0,95067,3,1,344,34
0,136176,4,1,39,34
0,95018,5,1,16,34
0,129655,6,1,3,34
0,95104,7,1,11,34
0,132193,1,10,4164,35
1,95108,1,10,4164,35
2,95061,1,10,4164,35
3,95062,1,10,4164,35
4,95063,1,10,4164,35
5,95064,1,10,4164,35
6,95065,1,10,4164,35
7,95066,1,10,4164,35
8,95067,1,10,4164,35
9,95068,1,10,4164,35
0,95071,2,1,503,35
0,136176,3,1,39,35
0,95018,4,1,16,35
0,129655,5,1,3,35
0,95104,6,1,11,35
0,132193,1,10,4164,36
1,95108,1,10,4164,36
2,95061,1,10,4164,36
3,95062,1,10,4164,36
4,95063,1,10,4164,36
5,95064,1,10,4164,36
6,95065,1,10,4164,36
7,95066,1,10,4164,36
8,95067,1,10,4164,36
9,95068,1,10,4164,36
0,95071,2,1,503,36
0,136176,3,1,39,36
0,95018,4,1,16,36
0,129655,5,1,3,36
0,95104,6,1,11,36
0,132193,1,7,3356,37
1,95061,1,7,3356,37
2,95062,1,7,3356,37
3,95064,1,7,3356,37
4,95065,1,7,3356,37
5,95068,1,7,3356,37
6,95071,1,7,3356,37
0,95063,2,1,450,37
0,95067,3,1,344,37
0,95066,4,1,506,37
0,95108,5,1,53,37
0,136176,6,1,39,37
0,95018,7,1,16,37
0,129655,8,1,3,37
0,95104,9,1,11,37
0,95064,1,1,605,38
0,95061,2,6,2565,38
1,95062,2,6,2565,38
2,95063,2,6,2565,38
3,95065,2,6,2565,38
4,95067,2,6,2565,38
5,95068,2,6,2565,38
0,95071,3,1,503,38
0,132193,4,1,491,38
0,95066,5,1,506,38
0,95108,6,1,53,38
0,136176,7,1,39,38
0,95018,8,1,16,38
0,129655,9,1,3,38
0,95104,10,1,11,38
0,132193,1,8,3820,39
1,95062,1,8,3820,39
2,95064,1,8,3820,39
3,95065,1,8,3820,39
4,95066,1,8,3820,39
5,95067,1,8,3820,39
6,95068,1,8,3820,39
7,95071,1,8,3820,39
0,95063,2,1,450,39
0,95061,3,1,378,39
0,95108,4,1,53,39
0,136176,5,1,39,39
0,95018,6,1,16,39
0,129655,7,1,3,39
0,95104,8,1,11,39
0,95064,1,2,657,40
1,95108,1,2,657,40
0,95061,2,6,2617,40
1,95062,2,6,2617,40
2,95065,2,6,2617,40
3,95067,2,6,2617,40
4,95068,2,6,2617,40
5,95071,2,6,2617,40
0,132193,3,1,491,40
0,95063,4,1,450,40
0,95066,5,1,506,40
0,136176,6,1,39,40
0,95018,7,1,16,40
0,129655,8,1,3,40
0,95104,9,1,11,40
0,95064,1,3,1140,41
1,132193,1,3,1140,41
2,95108,1,3,1140,41
0,95065,2,3,1422,41
1,95068,2,3,1422,41
2,95062,2,3,1422,41
0,95067,3,2,844,41
1,95071,3,2,844,41
0,95066,4,2,948,41
1,95063,4,2,948,41
0,95061,5,1,378,41
0,136176,6,1,39,41
0,95018,7,1,16,41
0,129655,8,1,3,41
0,95104,9,1,11,41
0,95064,1,2,1089,42
1,132193,1,2,1089,42
0,95108,2,6,2319,42
1,95061,2,6,2319,42
2,95062,2,6,2319,42
3,95065,2,6,2319,42
4,95066,2,6,2319,42
5,95068,2,6,2319,42
0,95071,3,1,503,42
0,95063,4,1,450,42
0,95067,5,1,344,42
0,136176,6,1,39,42
0,95018,7,1,16,42
0,129655,8,1,3,42
0,95104,9,1,11,42
0,95064,1,1,605,43
0,132193,2,9,4011,43
1,95061,2,9,4011,43
2,95062,2,9,4011,43
3,95063,2,9,4011,43
4,95065,2,9,4011,43
5,95066,2,9,4011,43
6,95067,2,9,4011,43
7,95068,2,9,4011,43
8,95071,2,9,4011,43
0,95108,3,1,53,43
0,136176,4,1,39,43
0,95018,5,1,16,43
0,129655,6,1,3,43
0,95104,7,1,11,43
0,95064,1,3,1464,44
1,132193,1,3,1464,44
2,95061,1,3,1464,44
0,136176,2,6,2438,44
1,95062,2,6,2438,44
2,95065,2,6,2438,44
3,95066,2,6,2438,44
4,95068,2,6,2438,44
5,95071,2,6,2438,44
0,95063,3,1,450,44
0,95067,4,1,344,44
0,95108,5,1,53,44
0,95018,6,1,16,44
0,129655,7,1,3,44
0,95104,8,1,11,44
0,132193,1,10,4606,45
1,95061,1,10,4606,45
2,95062,1,10,4606,45
3,95063,1,10,4606,45
4,95064,1,10,4606,45
5,95065,1,10,4606,45
6,95066,1,10,4606,45
7,95067,1,10,4606,45
8,95068,1,10,4606,45
9,95071,1,10,4606,45
0,95108,2,1,53,45
0,136176,3,1,39,45
0,95018,4,1,16,45
0,129655,5,1,3,45
0,95104,6,1,11,45
0,95064,1,3,1464,46
1,132193,1,3,1464,46
2,95061,1,3,1464,46
0,95062,2,5,2346,46
1,95063,2,5,2346,46
2,95065,2,5,2346,46
3,95066,2,5,2346,46
4,95068,2,5,2346,46
0,95071,3,1,503,46
0,95067,4,1,344,46
0,95108,5,1,53,46
0,136176,6,1,39,46
0,95018,7,1,16,46
0,129655,8,1,3,46
0,95104,9,1,11,46
0,132193,1,9,3827,47
1,95108,1,9,3827,47
2,95061,1,9,3827,47
3,95062,1,9,3827,47
4,95063,1,9,3827,47
5,95064,1,9,3827,47
6,95065,1,9,3827,47
7,95066,1,9,3827,47
8,95068,1,9,3827,47
0,95071,2,1,503,47
0,95067,3,1,344,47
0,136176,4,1,39,47
0,95018,5,1,16,47
0,129655,6,1,3,47
0,95104,7,1,11,47
0,95064,1,1,605,48
0,95104,2,10,3734,48
1,132193,2,10,3734,48
2,95108,2,10,3734,48
3,95061,2,10,3734,48
4,95062,2,10,3734,48
5,95063,2,10,3734,48
6,95065,2,10,3734,48
7,95066,2,10,3734,48
8,95068,2,10,3734,48
9,95071,2,10,3734,48
0,95067,3,1,344,48
0,136176,4,1,39,48
0,95018,5,1,16,48
0,129655,6,1,3,48
0,95064,1,1,605,49
0,95108,2,7,2365,49
1,136176,2,7,2365,49
2,95061,2,7,2365,49
3,95062,2,7,2365,49
4,95065,2,7,2365,49
5,95068,2,7,2365,49
6,95071,2,7,2365,49
0,132193,3,1,491,49
0,95063,4,1,450,49
0,95067,5,1,344,49
0,95066,6,1,506,49
0,95018,7,1,16,49
0,129655,8,1,3,49
0,95104,9,1,11,49
0,95064,1,1,605,50
0,132193,2,7,3244,50
1,95061,2,7,3244,50
2,95062,2,7,3244,50
3,95065,2,7,3244,50
4,95066,2,7,3244,50
5,95068,2,7,3244,50
6,95071,2,7,3244,50
0,95063,3,1,450,50
0,95067,4,1,344,50
0,95108,5,1,53,50
0,136176,6,1,39,50
0,95018,7,1,16,50
0,129655,8,1,3,50
0,95104,9,1,11,50
0,95064,1,1,605,51
0,95061,2,5,2279,51
1,95062,2,5,2279,51
2,95065,2,5,2279,51
3,95068,2,5,2279,51
4,95071,2,5,2279,51
0,132193,3,1,491,51
0,95063,4,1,450,51
0,95067,5,1,344,51
0,95066,6,1,506,51
0,95108,7,1,53,51
0,136176,8,1,39,51
0,95018,9,1,16,51
0,129655,10,1,3,51
0,95104,11,1,11,51
0,95064,1,3,1104,52
1,132193,1,3,1104,52
2,95018,1,3,1104,52
0,95065,2,1,516,52
0,95071,3,1,503,52
0,95061,4,6,2551,52
1,95062,4,6,2551,52
2,95063,4,6,2551,52
3,95066,4,6,2551,52
4,95067,4,6,2551,52
5,95068,4,6,2551,52
0,95108,5,1,53,52
0,136176,6,1,39,52
0,129655,7,1,3,52
0,95104,8,1,11,52
0,95064,1,1,605,53
0,95065,2,1,516,53
0,95061,3,6,2706,53
1,95062,3,6,2706,53
2,95063,3,6,2706,53
3,95066,3,6,2706,53
4,95068,3,6,2706,53
5,95071,3,6,2706,53
0,132193,4,1,491,53
0,95067,5,1,344,53
0,95108,6,1,53,53
0,136176,7,1,39,53
0,95018,8,1,16,53
0,129655,9,1,3,53
0,95104,10,1,11,53
0,95064,1,2,657,54
1,95108,1,2,657,54
0,95061,2,8,3530,54
1,95062,2,8,3530,54
2,95063,2,8,3530,54
3,95065,2,8,3530,54
4,95066,2,8,3530,54
5,95067,2,8,3530,54
6,95068,2,8,3530,54
7,95071,2,8,3530,54
0,132193,3,1,491,54
0,136176,4,1,39,54
0,95018,5,1,16,54
0,129655,6,1,3,54
0,95104,7,1,11,54
0,95064,1,2,1089,55
1,132193,1,2,1089,55
0,95061,2,7,3041,55
1,95062,2,7,3041,55
2,95063,2,7,3041,55
3,95065,2,7,3041,55
4,95066,2,7,3041,55
5,95067,2,7,3041,55
6,95068,2,7,3041,55
0,95071,3,1,503,55
0,95108,4,1,53,55
0,136176,5,1,39,55
0,95018,6,1,16,55
0,129655,7,1,3,55
0,95104,8,1,11,55
0,132193,1,9,3831,56
1,95108,1,9,3831,56
2,95061,1,9,3831,56
3,95062,1,9,3831,56
4,95063,1,9,3831,56
5,95064,1,9,3831,56
6,95066,1,9,3831,56
7,95068,1,9,3831,56
8,95071,1,9,3831,56
0,95065,2,1,516,56
0,95067,3,1,344,56
0,136176,4,1,39,56
0,95018,5,1,16,56
0,129655,6,1,3,56
0,95104,7,1,11,56
0,95064,1,2,1089,57
1,132193,1,2,1089,57
0,136176,2,2,553,57
1,95065,2,2,553,57
0,95061,3,5,2221,57
1,95062,3,5,2221,57
2,95063,3,5,2221,57
3,95068,3,5,2221,57
4,95071,3,5,2221,57
0,95067,4,1,344,57
0,95066,5,1,506,57
0,95108,6,1,53,57
0,95018,7,1,16,57
0,129655,8,1,3,57
0,95104,9,1,11,57
0,95064,1,1,605,58
0,95062,2,6,2740,58
1,95065,2,6,2740,58
2,95066,2,6,2740,58
3,95067,2,6,2740,58
4,95068,2,6,2740,58
5,95071,2,6,2740,58
0,132193,3,1,491,58
0,95063,4,1,450,58
0,95108,5,2,429,58
1,95061,5,2,429,58
0,136176,6,1,39,58
0,95018,7,1,16,58
0,129655,8,1,3,58
0,95104,9,1,11,58
0,95064,1,4,1530,59
1,132193,1,4,1530,59
2,95108,1,4,1530,59
3,95068,1,4,1530,59
0,95065,2,4,1852,59
1,95066,2,4,1852,59
2,95067,2,4,1852,59
3,95071,2,4,1852,59
0,95061,3,2,926,59
1,95062,3,2,926,59
0,95063,4,1,450,59
0,136176,5,1,39,59
0,95018,6,1,16,59
0,129655,7,1,3,59
0,95104,8,1,11,59
0,95064,1,4,1907,60
1,132193,1,4,1907,60
2,95061,1,4,1907,60
3,95063,1,4,1907,60
0,95065,2,2,1010,60
1,95066,2,2,1010,60
0,95062,3,2,1051,60
1,95071,3,2,1051,60
0,95068,4,1,393,60
0,95067,5,1,344,60
0,95108,6,1,53,60
0,136176,7,1,39,60
0,95018,8,1,16,60
0,129655,9,1,3,60
0,95104,10,1,11,60
0,95064,1,2,657,61
1,95108,1,2,657,61
0,95104,2,8,3186,61
1,95062,2,8,3186,61
2,95063,2,8,3186,61
3,95065,2,8,3186,61
4,95066,2,8,3186,61
5,95067,2,8,3186,61
6,95068,2,8,3186,61
7,95071,2,8,3186,61
0,132193,3,1,491,61
0,95061,4,1,378,61
0,136176,5,1,39,61
0,95018,6,1,16,61
0,129655,7,1,3,61
0,95064,1,4,1879,62
1,132193,1,4,1879,62
2,95067,1,4,1879,62
3,95063,1,4,1879,62
0,95061,2,6,2762,62
1,95062,2,6,2762,62
2,95065,2,6,2762,62
3,95066,2,6,2762,62
4,95068,2,6,2762,62
5,95071,2,6,2762,62
0,95108,3,1,53,62
0,136176,4,1,39,62
0,95018,5,1,16,62
0,129655,6,1,3,62
0,95104,7,1,11,62
0,95064,1,2,620,63
1,95018,1,2,620,63
0,95065,2,3,1422,63
1,95068,2,3,1422,63
2,95062,2,3,1422,63
0,95071,3,1,503,63
0,132193,4,1,491,63
0,95061,5,2,822,63
1,95063,5,2,822,63
0,95067,6,2,396,63
1,95108,6,2,396,63
0,95066,7,1,506,63
0,136176,8,1,39,63
0,129655,9,1,3,63
0,95104,10,1,11,63
0,95064,1,2,1089,64
1,132193,1,2,1089,64
0,95061,2,7,2764,64
1,95062,2,7,2764,64
2,129655,2,7,2764,64
3,95065,2,7,2764,64
4,95066,2,7,2764,64
5,95068,2,7,2764,64
6,95071,2,7,2764,64
0,95063,3,1,450,64
0,95067,4,1,344,64
0,95108,5,1,53,64
0,136176,6,1,39,64
0,95018,7,1,16,64
0,95104,8,1,11,64
0,132193,1,8,3780,65
1,95061,1,8,3780,65
2,95062,1,8,3780,65
3,95063,1,8,3780,65
4,95064,1,8,3780,65
5,95065,1,8,3780,65
6,95066,1,8,3780,65
7,95068,1,8,3780,65
0,95071,2,1,503,65
0,95067,3,1,344,65
0,95108,4,1,53,65
0,136176,5,1,39,65
0,95018,6,1,16,65
0,129655,7,1,3,65
0,95104,8,1,11,65
0,95064,1,3,1140,66
1,132193,1,3,1140,66
2,95108,1,3,1140,66
0,95061,2,8,3530,66
1,95062,2,8,3530,66
2,95063,2,8,3530,66
3,95065,2,8,3530,66
4,95066,2,8,3530,66
5,95067,2,8,3530,66
6,95068,2,8,3530,66
7,95071,2,8,3530,66
0,136176,3,1,39,66
0,95018,4,1,16,66
0,129655,5,1,3,66
0,95104,6,1,11,66
0,132193,1,8,3780,67
1,95061,1,8,3780,67
2,95062,1,8,3780,67
3,95063,1,8,3780,67
4,95064,1,8,3780,67
5,95065,1,8,3780,67
6,95066,1,8,3780,67
7,95068,1,8,3780,67
0,95071,2,1,503,67
0,95067,3,2,396,67
1,95108,3,2,396,67
0,136176,4,1,39,67
0,95018,5,1,16,67
0,129655,6,1,3,67
0,95104,7,1,11,67
0,95064,1,4,2001,68
1,132193,1,4,2001,68
2,95068,1,4,2001,68
3,95062,1,4,2001,68
0,136176,2,3,1047,68
1,95065,2,3,1047,68
2,95066,2,3,1047,68
0,95071,3,1,503,68
0,95067,4,3,1162,68
1,95061,4,3,1162,68
2,95063,4,3,1162,68
0,95108,5,1,53,68
0,95018,6,1,16,68
0,129655,7,1,3,68
0,95104,8,1,11,68
0,95064,1,2,657,69
1,95108,1,2,657,69
0,95062,2,6,2740,69
1,95065,2,6,2740,69
2,95066,2,6,2740,69
3,95067,2,6,2740,69
4,95068,2,6,2740,69
5,95071,2,6,2740,69
0,132193,3,1,491,69
0,95063,4,1,450,69
0,95061,5,1,378,69
0,136176,6,1,39,69
0,95018,7,1,16,69
