,urn,component,size,size_hh,n
0,95064,1,1,197,1
0,95030,2,1,52,1
0,95022,3,1,81,1
0,125354,4,1,33,1
0,95035,5,1,89,1
0,127257,6,1,132,1
0,95025,7,5,578,1
1,95061,7,5,578,1
2,95063,7,5,578,1
3,95066,7,5,578,1
4,95071,7,5,578,1
0,95065,8,3,315,1
1,95068,8,3,315,1
2,95033,8,3,315,1
0,95051,9,1,43,1
0,95103,10,1,3,1
0,132193,11,1,143,1
0,95057,12,1,37,1
0,95053,13,1,34,1
0,95047,14,1,59,1
0,95037,15,1,81,1
0,95045,16,1,38,1
0,95038,17,1,45,1
0,95020,18,1,64,1
0,95059,19,1,45,1
0,95032,20,1,71,1
0,95031,21,1,67,1
0,95054,22,1,26,1
0,95058,23,1,50,1
0,95056,24,1,33,1
0,134849,25,1,36,1
0,95034,26,1,65,1
0,95041,27,1,42,1
0,95043,28,1,39,1
0,95023,29,1,68,1
0,95021,30,1,81,1
0,95055,31,1,45,1
0,95027,32,1,42,1
0,95019,33,1,4,1
0,95039,34,1,51,1
0,95052,35,1,46,1
0,95046,36,1,40,1
0,95060,37,1,53,1
0,95026,38,1,41,1
0,95024,39,1,42,1
0,95042,40,1,38,1
0,95040,41,1,41,1
0,131819,42,1,16,1
0,95048,43,1,26,1
0,95108,44,1,35,1
0,95044,45,1,32,1
0,95062,46,1,169,1
0,95067,47,1,91,1
0,95049,48,1,1,1
0,95018,49,1,7,1
0,95104,50,1,5,1
0,136176,51,1,22,1
0,135698,52,1,49,1
0,95064,1,1,197,2
0,95030,2,1,52,2
0,95022,3,1,81,2
0,125354,4,1,33,2
0,95035,5,1,89,2
0,127257,6,1,132,2
0,95066,7,2,315,2
1,95071,7,2,315,2
0,95065,8,1,152,2
0,95063,9,1,126,2
0,95051,10,1,43,2
0,95103,11,1,3,2
0,132193,12,1,143,2
0,95057,13,1,37,2
0,95053,14,1,34,2
0,95025,15,1,23,2
0,95047,16,1,59,2
0,95037,17,1,81,2
0,95045,18,1,38,2
0,95038,19,1,45,2
0,95020,20,1,64,2
0,95059,21,1,45,2
0,95032,22,1,71,2
0,95031,23,1,67,2
0,95033,24,1,55,2
0,95054,25,1,26,2
0,95058,26,1,50,2
0,95056,27,1,33,2
0,134849,28,1,36,2
0,95034,29,1,65,2
0,95041,30,1,42,2
0,95043,31,1,39,2
0,95023,32,1,68,2
0,95021,33,1,81,2
0,95055,34,1,45,2
0,95027,35,1,42,2
0,95019,36,1,4,2
0,95039,37,1,51,2
0,95052,38,1,46,2
0,95046,39,1,40,2
0,95060,40,1,53,2
0,95026,41,1,41,2
0,95024,42,1,42,2
0,95042,43,1,38,2
0,95068,44,1,110,2
0,95040,45,1,41,2
0,131819,46,1,16,2
0,95048,47,1,26,2
0,95108,48,1,35,2
0,95044,49,1,32,2
0,95062,50,1,169,2
0,95067,51,1,91,2
0,95061,52,1,120,2
0,95049,53,1,1,2
0,95018,54,1,7,2
0,95104,55,1,5,2
0,136176,56,1,22,2
0,135698,57,1,49,2
0,95064,1,2,228,3
1,95044,1,2,228,3
0,95030,2,2,175,3
1,95063,2,2,175,3
0,95022,3,1,81,3
0,125354,4,1,33,3
0,95035,5,1,89,3
0,127257,6,1,132,3
0,95066,7,1,173,3
0,95032,8,2,222,3
1,95065,8,2,222,3
0,95051,9,1,43,3
0,95103,10,1,3,3
0,132193,11,1,143,3
0,95057,12,1,37,3
0,95053,13,1,34,3
0,95025,14,1,23,3
0,95041,15,2,100,3
1,95047,15,2,100,3
0,95037,16,1,81,3
0,95045,17,1,38,3
0,95038,18,1,45,3
0,95020,19,1,64,3
0,95059,20,1,45,3
0,95031,21,1,67,3
0,95033,22,1,55,3
0,95054,23,1,26,3
0,95058,24,1,50,3
0,95056,25,1,33,3
0,134849,26,1,36,3
0,95034,27,1,65,3
0,95043,28,1,39,3
0,95023,29,1,68,3
0,95021,30,1,81,3
0,95055,31,1,45,3
0,95027,32,1,42,3
0,95019,33,1,4,3
0,95039,34,1,51,3
0,95071,35,1,143,3
0,95052,36,1,46,3
0,95046,37,1,40,3
0,95060,38,1,53,3
0,95026,39,1,41,3
0,95024,40,1,42,3
0,95042,41,1,38,3
0,95068,42,1,110,3
0,95040,43,1,41,3
0,131819,44,1,16,3
0,95048,45,1,26,3
0,95108,46,1,35,3
0,95062,47,1,169,3
0,95067,48,1,91,3
0,95061,49,1,120,3
0,95049,50,1,1,3
0,95018,51,1,7,3
0,95104,52,1,5,3
0,136176,53,1,22,3
0,135698,54,1,49,3
0,95064,1,1,197,4
0,95030,2,1,52,4
0,95022,3,1,81,4
0,125354,4,1,33,4
0,95035,5,1,89,4
0,127257,6,1,132,4
0,95066,7,1,173,4
0,95065,8,3,354,4
1,95108,8,3,354,4
2,95062,8,3,354,4
0,95034,9,2,190,4
1,95063,9,2,190,4
0,95051,10,1,43,4
0,95103,11,1,3,4
0,132193,12,1,143,4
0,95057,13,1,37,4
0,95053,14,1,34,4
0,95025,15,1,23,4
0,95047,16,1,59,4
0,95037,17,1,81,4
0,95045,18,1,38,4
0,95038,19,1,45,4
0,95020,20,1,64,4
0,95059,21,1,45,4
0,95032,22,1,71,4
0,95031,23,1,67,4
0,95033,24,1,55,4
0,95054,25,1,26,4
0,95058,26,1,50,4
0,95056,27,1,33,4
0,134849,28,1,36,4
0,95041,29,1,42,4
0,95043,30,1,39,4
0,95023,31,1,68,4
0,95021,32,1,81,4
0,95055,33,1,45,4
0,95027,34,1,42,4
0,95019,35,1,4,4
0,95039,36,1,51,4
0,95071,37,1,143,4
0,95052,38,1,46,4
0,95046,39,1,40,4
0,95060,40,1,53,4
0,95026,41,1,41,4
0,95024,42,1,42,4
0,95042,43,1,38,4
0,95068,44,1,110,4
0,95040,45,1,41,4
0,131819,46,1,16,4
0,95048,47,1,26,4
0,95044,48,1,32,4
0,95067,49,1,91,4
0,95061,50,1,120,4
0,95049,51,1,1,4
0,95018,52,1,7,4
0,95104,53,1,5,4
0,136176,54,1,22,4
0,135698,55,1,49,4
0,95064,1,3,408,5
1,127257,1,3,408,5
2,95037,1,3,408,5
0,95030,2,1,52,5
0,95022,3,1,81,5
0,125354,4,2,96,5
1,95020,4,2,96,5
0,95035,5,1,89,5
0,95066,6,2,315,5
1,95071,6,2,315,5
0,95065,7,1,152,5
0,95063,8,1,126,5
0,95051,9,1,43,5
0,95103,10,1,3,5
0,132193,11,1,143,5
0,95057,12,1,37,5
0,95053,13,1,34,5
0,95025,14,1,23,5
0,95047,15,1,59,5
0,95045,16,1,38,5
0,95038,17,1,45,5
0,95059,18,1,45,5
0,95032,19,1,71,5
0,95031,20,1,67,5
0,95033,21,2,164,5
1,95068,21,2,164,5
0,95054,22,1,26,5
0,95058,23,1,50,5
0,95056,24,1,33,5
0,134849,25,1,36,5
0,95034,26,1,65,5
0,95041,27,1,42,5
0,95043,28,1,39,5
0,95023,29,1,68,5
0,95021,30,1,81,5
0,95055,31,1,45,5
0,95027,32,1,42,5
0,95019,33,1,4,5
0,95039,34,1,51,5
0,95052,35,1,46,5
0,95046,36,1,40,5
0,95060,37,1,53,5
0,95026,38,1,41,5
0,95024,39,1,42,5
0,95042,40,1,38,5
0,95040,41,1,41,5
0,131819,42,1,16,5
0,95048,43,1,26,5
0,95108,44,1,35,5
0,95044,45,1,32,5
0,95062,46,1,169,5
0,95067,47,1,91,5
0,95061,48,1,120,5
0,95049,49,1,1,5
0,95018,50,1,7,5
0,95104,51,1,5,5
0,136176,52,1,22,5
0,135698,53,1,49,5
0,95064,1,1,197,6
0,95030,2,1,52,6
0,95022,3,1,81,6
0,125354,4,1,33,6
0,95035,5,1,89,6
0,127257,6,1,132,6
0,95065,7,3,491,6
1,95066,7,3,491,6
2,95062,7,3,491,6
0,95063,8,1,126,6
0,95051,9,1,43,6
0,95103,10,1,3,6
0,132193,11,2,180,6
1,95045,11,2,180,6
0,95057,12,1,37,6
0,95053,13,1,34,6
0,95025,14,1,23,6
0,95047,15,1,59,6
0,95037,16,1,81,6
0,95038,17,1,45,6
0,95020,18,1,64,6
0,95059,19,1,45,6
0,95032,20,1,71,6
0,95031,21,1,67,6
0,95033,22,1,55,6
0,95054,23,1,26,6
0,95058,24,1,50,6
0,95056,25,1,33,6
0,134849,26,1,36,6
0,95034,27,1,65,6
0,95041,28,1,42,6
0,95043,29,1,39,6
0,95023,30,1,68,6
0,95021,31,1,81,6
0,95055,32,1,45,6
0,95027,33,1,42,6
0,95019,34,1,4,6
0,95039,35,1,51,6
0,95071,36,1,143,6
0,95052,37,1,46,6
0,95046,38,1,40,6
0,95060,39,1,53,6
0,95026,40,1,41,6
0,95024,41,1,42,6
0,95042,42,1,38,6
0,95068,43,1,110,6
0,95040,44,1,41,6
0,131819,45,1,16,6
0,95048,46,1,26,6
0,95108,47,1,35,6
0,95044,48,1,32,6
0,95067,49,1,91,6
0,95061,50,1,120,6
0,95049,51,1,1,6
0,95018,52,1,7,6
0,95104,53,1,5,6
0,136176,54,1,22,6
0,135698,55,1,49,6
0,95064,1,2,277,7
1,95037,1,2,277,7
0,95030,2,1,52,7
0,95022,3,1,81,7
0,125354,4,1,33,7
0,95035,5,1,89,7
0,127257,6,1,132,7
0,95066,7,1,173,7
0,95065,8,1,152,7
0,95063,9,1,126,7
0,95051,10,1,43,7
0,95103,11,1,3,7
0,132193,12,2,192,7
1,95058,12,2,192,7
0,95057,13,1,37,7
0,95053,14,1,34,7
0,95025,15,1,23,7
0,95047,16,1,59,7
0,95045,17,1,38,7
0,95038,18,1,45,7
0,95020,19,1,64,7
0,95059,20,1,45,7
0,95032,21,1,71,7
0,95031,22,1,67,7
0,95033,23,1,55,7
0,95054,24,1,26,7
0,95056,25,1,33,7
0,134849,26,1,36,7
0,95034,27,1,65,7
0,95041,28,2,132,7
1,95067,28,2,132,7
0,95043,29,1,39,7
0,95023,30,1,68,7
