,urn,component,size,size_hh,n
0,95064,1,1,605,1
0,95065,2,1,516,1
0,95071,3,1,503,1
0,95062,4,1,552,1
0,132193,5,1,491,1
0,95063,6,1,450,1
0,95068,7,1,393,1
0,95067,8,1,344,1
0,95066,9,1,506,1
0,95061,10,1,378,1
0,95108,11,1,53,1
0,136176,12,1,39,1
0,95018,13,1,16,1
0,129655,14,1,3,1
0,95104,15,1,11,1
0,95064,1,1,605,2
0,95065,2,1,516,2
0,95068,3,2,893,2
1,95071,3,2,893,2
0,95062,4,1,552,2
0,132193,5,1,491,2
0,95063,6,1,450,2
0,95067,7,1,344,2
0,95066,8,1,506,2
0,95061,9,1,378,2
0,95108,10,1,53,2
0,136176,11,1,39,2
0,95018,12,1,16,2
0,129655,13,1,3,2
0,95104,14,1,11,2
0,95064,1,1,605,3
0,95065,2,2,1010,3
1,95066,2,2,1010,3
0,95071,3,1,503,3
0,95062,4,1,552,3
0,132193,5,1,491,3
0,95061,6,2,822,3
1,95063,6,2,822,3
0,95068,7,1,393,3
0,95067,8,1,344,3
0,95108,9,1,53,3
0,136176,10,1,39,3
0,95018,11,1,16,3
0,129655,12,1,3,3
0,95104,13,1,11,3
0,95064,1,1,605,4
0,95065,2,1,516,4
0,95071,3,1,503,4
0,95062,4,1,552,4
0,132193,5,1,491,4
0,95063,6,1,450,4
0,95068,7,1,393,4
0,95067,8,1,344,4
0,95066,9,1,506,4
0,95061,10,1,378,4
0,95108,11,1,53,4
0,136176,12,1,39,4
0,95018,13,1,16,4
0,129655,14,1,3,4
0,95104,15,1,11,4
0,95064,1,1,605,5
0,95065,2,2,1010,5
1,95066,2,2,1010,5
0,95071,3,1,503,5
0,95068,4,2,919,5
1,95062,4,2,919,5
0,132193,5,1,491,5
0,95063,6,1,450,5
0,95067,7,1,344,5
0,95061,8,1,378,5
0,95108,9,1,53,5
0,136176,10,1,39,5
0,95018,11,1,16,5
0,129655,12,1,3,5
0,95104,13,1,11,5
0,95064,1,2,620,6
1,95018,1,2,620,6
0,95065,2,3,954,6
1,95108,2,3,954,6
2,95068,2,3,954,6
0,95071,3,1,503,6
0,95062,4,1,552,6
0,132193,5,1,491,6
0,95063,6,1,450,6
0,95067,7,1,344,6
0,95066,8,1,506,6
0,95061,9,1,378,6
0,136176,10,1,39,6
0,129655,11,1,3,6
0,95104,12,1,11,6
0,95064,1,1,605,7
0,95065,2,1,516,7
0,95071,3,1,503,7
0,95062,4,1,552,7
0,132193,5,1,491,7
0,95063,6,1,450,7
0,95068,7,1,393,7
0,95067,8,1,344,7
0,95066,9,1,506,7
0,95061,10,1,378,7
0,95108,11,1,53,7
0,136176,12,1,39,7
0,95018,13,1,16,7
0,129655,14,1,3,7
0,95104,15,1,11,7
0,95064,1,3,1604,8
1,132193,1,3,1604,8
2,95065,1,3,1604,8
0,95071,2,1,503,8
0,95066,3,3,1414,8
1,95068,3,3,1414,8
2,95062,3,3,1414,8
0,95063,4,1,450,8
0,95067,5,1,344,8
0,95061,6,1,378,8
0,95108,7,1,53,8
0,136176,8,1,39,8
0,95018,9,1,16,8
0,129655,10,1,3,8
0,95104,11,1,11,8
0,95064,1,2,1089,9
1,132193,1,2,1089,9
0,95065,2,1,516,9
0,95071,3,1,503,9
0,95062,4,1,552,9
0,95066,5,2,948,9
1,95063,5,2,948,9
0,95068,6,1,393,9
0,95067,7,1,344,9
0,95061,8,1,378,9
0,95108,9,1,53,9
0,136176,10,1,39,9
0,95018,11,1,16,9
0,129655,12,1,3,9
0,95104,13,1,11,9
0,95064,1,3,1464,10
1,132193,1,3,1464,10
2,95061,1,3,1464,10
0,95065,2,1,516,10
0,95071,3,1,503,10
0,95068,4,2,919,10
